X1,X2,y
0.982040673,0.525523171,0
1.980384779,0.367718004,1
-1.309189615,0.943572058,0
0.558719431,-0.312974365,1
-0.589598885,0.987214239,0
0.249891252,0.42642636,1
0.497206192,0.895352689,0
0.592507844,-0.249211081,1
-0.643579145,0.736258516,0
-0.164851109,1.065888827,0
1.211799797,0.406252891,0
-1.00409116,0.599599982,0
-1.060468898,0.451364898,0
0.741375521,1.062760786,0
0.841476115,0.112613073,0
1.428380382,-0.293943449,1
0.644562788,-0.649551326,1
1.744578795,0.078618068,1
0.637701861,-0.335688273,1
2.066398603,0.272903281,1
0.682965529,0.146100977,0
1.639952313,-0.396242704,1
-1.202605037,-0.144617996,0
-0.128851711,0.016965811,1
-1.005317993,0.314664961,0
0.202948825,0.620920983,0
0.488792516,-0.281315088,1
1.816371288,0.090032173,1
1.204016169,-0.674139971,1
0.260300048,0.099513113,1
2.07815215,-0.063429024,1
0.588996922,1.083108586,0
1.509232021,-0.494258739,1
0.32831788,1.5815677,0
-0.358125976,0.750690322,0
-0.570617609,0.598627849,0
-0.345723022,1.115230679,0
-0.081759558,1.163398165,0
-0.86755825,0.549517148,0
-0.789907449,0.448200063,0
-0.386614138,0.91240727,0
0.89723456,0.020995653,1
0.060954438,0.798771342,0
-0.930898371,0.72202745,0
1.17741664,-0.489016061,1
2.012724564,0.378012828,1
-0.801537154,0.008095349,0
1.769627298,0.291756067,1
-0.433420481,0.840252803,0
-0.553402467,0.893710232,0
2.037386037,-0.23319418,1
2.001084037,0.197795355,1
0.047865441,-0.011821118,1
2.02839989,-0.323902213,1
0.083541173,0.619033103,0
0.465144828,-0.67602205,1
0.572566057,-0.177717183,1
0.917136758,0.267237329,0
1.418509837,-0.1483839,1
1.229817669,-0.288786269,1
1.372249276,-0.631612644,1
0.758715889,-0.509018037,1
1.191991859,-0.301556786,0
-0.428226856,0.796089134,0
0.499034801,0.984236217,0
-0.308457918,0.710824936,0
0.685560043,-0.302420536,1
1.827796666,0.196228079,1
0.632946873,0.180069394,0
0.657585775,-0.490423772,1
0.222215808,0.278691865,1
1.081520388,-0.083964674,1
0.636206915,-0.480927546,1
0.909333844,-0.565694449,1
-0.993189873,0.200129352,0
1.807273365,-0.500250803,1
0.894048923,-0.463605125,1
1.180287676,-0.554867247,1
-0.937841061,0.634315567,0
-0.042366339,0.402286544,1
-0.195589712,0.161467667,1
1.14130111,-0.157009776,1
0.921831517,0.01006093,0
2.264048184,-0.183920338,1
1.110872661,-0.140154858,1
0.69884133,-0.432859391,1
0.70506091,-0.057840538,1
0.604939347,0.548152005,0
0.820948213,-0.602794141,1
1.300508546,-0.423303619,1
-0.866553923,0.414520804,0
-0.610480834,1.439011966,0
0.10337646,-0.0657235,1
1.194739115,0.379181325,0
-0.351160098,1.262480184,0
1.513140628,-0.341246958,1
-0.031796346,0.921563445,0
0.090350423,0.828849148,0
0.978074355,-0.782581646,1
0.190763916,0.152627714,1
0.560270701,1.262366656,0
-0.753420457,0.564363339,0
1.417034849,-0.290230228,1
0.79207777,0.827225231,0
0.605655364,-0.784559634,1
0.181735397,0.204630753,1
2.111938695,0.043623936,1
1.510631641,0.003090964,1
-0.111127434,0.437001246,1
0.380260841,-0.440968322,1
0.831673543,-0.206144256,1
0.837894705,-0.512138194,1
1.3158099,-0.638677289,1
0.972155865,-0.323972214,1
0.144663346,1.046241665,0
1.937386519,0.209573783,1
-0.896570828,0.463604635,0
1.828875046,-0.344527574,1
-1.203924542,0.021822104,0
-0.75363948,0.554344696,0
-1.01960494,0.274216172,0
1.674445301,-0.213820361,1
0.058109503,-0.310237704,1
0.319016525,-0.531195099,1
-1.239376527,0.991861621,0
0.935573913,0.298652409,0
1.007295405,0.653463076,0
0.592941239,0.86682424,0
1.350653084,-0.35303929,1
1.224605797,-0.452410514,1
1.297317826,0.503264608,0
0.484233662,1.191090624,0
-0.809779962,0.363320609,0
-0.312086281,-0.158921571,1
0.665420694,0.145757173,0
1.353459325,-0.390416784,1
-0.999676582,0.621428186,0
0.568181005,1.008639603,0
0.825422652,-0.581495414,1
-0.658638053,0.798337475,0
0.789328754,0.869133608,0
0.175715169,0.433059347,1
1.805823728,-0.200487569,1
1.613674916,-0.399021081,1
1.81471397,-0.122612665,1
-0.073254704,1.000914191,0
1.925082771,0.114520206,1
1.631491367,-0.36890755,1
0.399177988,-0.559964599,1
0.269180311,-0.116813177,1
0.760689318,0.035795028,0
-0.033342849,0.922414001,0
0.712992054,0.788421316,0
-0.890128699,0.355725353,0
0.043778868,1.187165927,0
0.586972411,0.860263183,0
1.048275262,0.225743709,0
-1.114837216,0.326317595,0
1.422829043,-0.146287509,1
0.224438174,-0.11578288,1
0.386923305,0.034208634,1
0.670568798,0.589935301,0
0.223149134,0.164784383,1
0.143411924,-0.006558038,1
-0.240257728,1.038278902,1
0.714225231,0.359725059,0
-0.882368384,0.656307076,0
0.269947221,0.983049908,0
0.977154173,0.684108913,0
2.119731101,-0.112236426,1
-0.514757847,1.144856346,0
2.019168261,0.765676256,1
0.442309901,0.513478364,0
-0.635546762,0.466311352,0
0.055386541,0.07634716,1
-0.227518057,0.719012222,1
0.239602279,0.097481794,1
2.449463272,0.265114638,1
-0.059907615,0.185378541,1
0.225078653,-0.204044978,1
0.002597426,0.810999,0
0.22901996,1.063083748,0
0.01080564,-0.405915031,1
0.341201573,-0.458997552,1
0.823353543,0.606880884,0
0.460497437,0.849221784,0
-0.63536389,0.838211339,0
1.65057859,0.505359458,1
0.332794968,-0.399195174,1
-0.509508348,0.961555055,0
0.984155282,-0.435880732,1
-0.476807248,0.784963425,0
0.209823664,-0.415574624,1
0.577511279,1.067620715,0
-0.793676962,0.444344687,0
0.909617671,-0.358085278,1
-0.670948193,1.333019197,0
0.831924205,1.021210875,0
2.147263098,0.039000949,1
0.368017433,0.842911906,0
-0.218222442,0.833052438,0
1.124562824,0.200677932,0
1.74992915,-0.084086841,1
1.811889873,0.462402818,1
-0.867069605,0.986594979,0
0.132883037,-0.436311433,1
1.70009232,-0.387620126,1
1.038090388,-0.554798485,1
1.831981677,0.586410184,1
0.979101033,0.373772068,0
-0.149245913,0.91562408,0
-0.779037258,0.817957254,0
-0.871020912,0.643404079,0
0.890375831,1.366303107,0
2.043779197,0.073132013,1
0.015215255,0.287843667,1
1.239992636,0.018341265,0
1.734053688,-0.372490898,1
0.150409016,0.805815868,0
1.261731876,-0.680467616,1
1.749223041,-0.01599985,1
1.328136886,0.0219061,1
1.728552047,0.502568065,1
0.966162468,-0.464658247,1
-1.068980313,-0.052740562,0
0.559772049,-0.60527273,1
0.746036456,0.218541373,0
1.090553646,-0.456147725,1
-0.807257792,0.120790451,0
1.627505481,-0.603017559,1
0.319842832,0.923976125,0
1.775545517,-0.327722914,1
-0.946137469,0.180313285,0
1.745979835,-0.04549918,1
2.003052936,-0.217220663,1
1.079521945,0.284419009,0
-0.980182554,0.908573197,0
1.269773476,-0.342223778,1
0.782868348,0.324538926,0
0.928410619,-0.442955053,1
0.217097019,0.256113926,1
1.599762156,-0.787092604,1
-0.627248031,0.921991034,0
1.659299784,-0.2746581,1
-0.471065566,0.647592365,0
0.219324523,1.410155557,0
-0.618711764,0.732547752,0
0.248728346,1.248317856,0
0.434508747,0.693438938,0
0.074739974,0.490203311,0
0.330905631,0.480390886,0
1.395680385,-0.554008374,1
-0.674444963,0.380502029,0
-1.180542379,0.28627979,0
1.754027676,0.04909675,1
-0.078844729,0.809012165,0
0.34114352,1.055850964,0
0.757361316,0.948334119,0
-1.191114561,-0.042193499,0
1.044006505,0.687193181,0
0.990197796,0.125001686,0
-0.547752478,0.620907859,0
-0.377616742,1.332447176,0
0.218395355,-0.444801586,1
-0.876269155,0.443727339,0
-1.213543487,0.453082999,0
-1.560170973,0.044607298,0
-0.916159473,0.568705567,0
0.124078386,-0.045621954,1
1.49448365,-0.323931395,1
2.056751095,0.068319049,1
-0.266827556,0.387826598,1
0.074452381,0.841409937,0
0.229091042,-0.080548332,1
0.995960554,0.60233032,0
1.837171423,0.286612485,1
-0.147290186,0.406204734,1
0.122766704,-0.136466036,1
1.803156221,0.427169067,1
1.172268849,-0.383679568,1
1.196373406,-0.294343716,1
2.16275184,0.112836169,1
0.052618226,1.356310076,0
0.135329441,0.92181127,0
1.304646048,0.38997366,0
-0.702713199,-0.125546842,0
0.224716163,-0.130338036,1
0.124979264,-0.013825758,1
-0.222786751,0.052712244,1
0.443432964,-0.494704355,1
-0.381881196,0.208985668,1
0.133075866,1.072603948,0
1.013400374,0.533192764,0
1.621018142,-0.13140302,1
0.718636461,0.33447565,0
1.122990004,-0.03374016,0
0.381934533,-0.194438435,1
1.173242093,-0.678837957,1
-0.750602797,0.024169253,0
0.613632575,0.572743647,0
0.812510267,0.318554854,0
1.318078739,-0.262515497,1
0.810011888,-0.513797831,1
-0.109105657,1.070178702,0
0.703014249,0.524534537,0
-0.777694859,0.32507752,0
0.161065225,0.942859042,0
-0.92843665,0.290536616,0
0.408054816,1.521331183,0
2.044045255,0.150294128,1
0.586959273,0.688700345,0
-0.120408913,0.531344029,0
-0.877594181,0.298822078,0
1.059625505,0.676893029,0
0.381847895,-0.14792289,1
0.824261712,-0.343933313,1
-0.422617286,0.524187038,0
-0.729154895,0.387453368,0
-0.738657479,0.580091661,0
-0.609530174,0.64784873,0
0.12164292,0.979101835,0
0.202553131,-0.221783359,1
0.938258867,0.279853357,0
-0.977870308,0.656342545,0
1.911110967,0.168546874,1
0.952798368,0.691888824,0
0.168933384,1.079681173,0
0.281893882,0.21949707,1
-0.698077589,0.551621605,0
0.240822129,0.851873784,0
